Common Name,Scientific Name
"Northern Harrier","Circus hudsonius"
"Bald Eagle","Haliaeetus leucocephalus"
"Steller's Sea-Eagle","Haliaeetus pelagicus"
"Mississippi Kite","Ictinia mississippiensis"
"Harris's Hawk","Parabuteo unicinctus"
"Broad-winged Hawk","Buteo platypterus"
"Red-shouldered Hawk","Buteo lineatus"
"Swainson's Hawk","Buteo swainsoni"
"Red-tailed Hawk","Buteo jamaicensis"
"Rough-legged Hawk","Buteo lagopus"
"Ferruginous Hawk","Buteo regalis"
"American Barn Owl","Tyto furcata"
"Flammulated Owl","Psiloscops flammeolus"
"Western Screech-Owl","Megascops kennicottii"
"Eastern Screech-Owl","Megascops asio"
"Snowy Owl","Bubo scandiacus"
"Great Horned Owl","Bubo virginianus"
"Northern Pygmy-Owl","Glaucidium gnoma"
"Burrowing Owl","Athene cunicularia"
"Barred Owl","Strix varia"
"Great Gray Owl","Strix nebulosa"
"Long-eared Owl","Asio otus"
"Short-eared Owl","Asio flammeus"
"Boreal Owl","Aegolius funereus"
"Northern Saw-whet Owl","Aegolius acadicus"
"Northern Carmine Bee-eater","Merops nubicus"
"Belted Kingfisher","Megaceryle alcyon"
"Williamson's Sapsucker","Sphyrapicus thyroideus"
"Yellow-bellied Sapsucker","Sphyrapicus varius"
"Red-naped Sapsucker","Sphyrapicus nuchalis"
"Red-breasted Sapsucker","Sphyrapicus ruber"
"Lewis's Woodpecker","Melanerpes lewis"
"Red-headed Woodpecker","Melanerpes erythrocephalus"
"Acorn Woodpecker","Melanerpes formicivorus"
"Red-bellied Woodpecker","Melanerpes carolinus"
"American Three-toed Woodpecker","Picoides dorsalis"
"Black-backed Woodpecker","Picoides arcticus"
"Downy Woodpecker","Dryobates pubescens"
"Hairy Woodpecker","Leuconotopicus villosus"
"White-headed Woodpecker","Leuconotopicus albolarvatus"
"Pileated Woodpecker","Dryocopus pileatus"
"Northern Flicker","Colaptes auratus"
"Crested Caracara","Caracara plancus"
"Eurasian Kestrel","Falco tinnunculus"
"American Kestrel","Falco sparverius"
"Merlin","Falco columbarius"
"Peregrine Falcon","Falco peregrinus"
"Prairie Falcon","Falco mexicanus"
"Cockatiel","Nymphicus hollandicus"
"Little Corella","Cacatua sanguinea"
"Red-rumped Parrot","Psephotus haematonotus"
"Budgerigar","Melopsittacus undulatus"
"Rosy-faced Lovebird","Agapornis roseicollis"
"Red-bellied Parrot","Poicephalus rufiventris"
"Monk Parakeet","Myiopsitta monachus"
"Scarlet Macaw","Ara macao"
"Mitred Parakeet","Psittacara mitratus"
"Small-billed Elaenia","Elaenia parvirostris"
"Olive-sided Flycatcher","Contopus cooperi"
"Western Wood-Pewee","Contopus sordidulus"
"Eastern Wood-Pewee","Contopus virens"
"Yellow-bellied Flycatcher","Empidonax flaviventris"
"Acadian Flycatcher","Empidonax virescens"
"Alder Flycatcher","Empidonax alnorum"
"Willow Flycatcher","Empidonax traillii"
"Least Flycatcher","Empidonax minimus"
"Hammond's Flycatcher","Empidonax hammondii"
"Gray Flycatcher","Empidonax wrightii"
"Dusky Flycatcher","Empidonax oberholseri"
"Western Flycatcher","Empidonax difficilis"
"Black Phoebe","Sayornis nigricans"
"Eastern Phoebe","Sayornis phoebe"
"Say's Phoebe","Sayornis saya"
"Vermilion Flycatcher","Pyrocephalus rubinus"
"Ash-throated Flycatcher","Myiarchus cinerascens"
"Great Crested Flycatcher","Myiarchus crinitus"
"Great Kiskadee","Pitangus sulphuratus"
"Sulphur-bellied Flycatcher","Myiodynastes luteiventris"
"Variegated Flycatcher","Empidonomus varius"
"Tropical Kingbird","Tyrannus melancholicus"
"Cassin's Kingbird","Tyrannus vociferans"
"Thick-billed Kingbird","Tyrannus crassirostris"
"Western Kingbird","Tyrannus verticalis"
"Eastern Kingbird","Tyrannus tyrannus"
"Gray Kingbird","Tyrannus dominicensis"
"Scissor-tailed Flycatcher","Tyrannus forficatus"
"Fork-tailed Flycatcher","Tyrannus savana"
"Black-capped Vireo","Vireo atricapilla"
"White-eyed Vireo","Vireo griseus"
"Bell's Vireo","Vireo bellii"
"Hutton's Vireo","Vireo huttoni"
"Yellow-throated Vireo","Vireo flavifrons"
"Cassin's Vireo","Vireo cassinii"
"Blue-headed Vireo","Vireo solitarius"
"Plumbeous Vireo","Vireo plumbeus"
"Philadelphia Vireo","Vireo philadelphicus"
"Eastern Warbling Vireo","Vireo gilvus"
"Western Warbling Vireo","Vireo swainsoni"
"Red-eyed Vireo","Vireo olivaceus"
"Red-backed Shrike","Lanius collurio"
"Brown Shrike","Lanius cristatus"
"Loggerhead Shrike","Lanius ludovicianus"
"Northern Shrike","Lanius borealis"
"Canada Jay","Perisoreus canadensis"
"Pinyon Jay","Gymnorhinus cyanocephalus"
"Steller's Jay","Cyanocitta stelleri"
"Blue Jay","Cyanocitta cristata"
"Florida Scrub-Jay","Aphelocoma coerulescens"
"California Scrub-Jay","Aphelocoma californica"
"Black-billed Magpie","Pica hudsonia"
"Clark's Nutcracker","Nucifraga columbiana"
"Eurasian Jackdaw","Coloeus monedula"
"American Crow","Corvus brachyrhynchos"
"Fish Crow","Corvus ossifragus"
"Pied Crow","Corvus albus"
"Common Raven","Corvus corax"
"Carolina Chickadee","Poecile carolinensis"
"Black-capped Chickadee","Poecile atricapillus"
"Mountain Chickadee","Poecile gambeli"
"Chestnut-backed Chickadee","Poecile rufescens"
"Boreal Chickadee","Poecile hudsonicus"
"Tufted Titmouse","Baeolophus bicolor"
"Great Tit","Parus major"
"Eurasian Skylark","Alauda arvensis"
"Horned Lark","Eremophila alpestris"
"Bank Swallow","Riparia riparia"
"Tree Swallow","Tachycineta bicolor"
"Violet-green Swallow","Tachycineta thalassina"
"Purple Martin","Progne subis"
"Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"Barn Swallow","Hirundo rustica"
"Cliff Swallow","Petrochelidon pyrrhonota"
"Cave Swallow","Petrochelidon fulva"
"Collared Finchbill","Spizixos semitorques"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Arctic Warbler","Phylloscopus borealis"
"Bushtit","Psaltriparus minimus"
"Ruby-crowned Kinglet","Corthylio calendula"
"Golden-crowned Kinglet","Regulus satrapa"
"White-breasted Nuthatch","Sitta carolinensis"
"Pygmy Nuthatch","Sitta pygmaea"
"Red-breasted Nuthatch","Sitta canadensis"
"Brown Creeper","Certhia americana"
"Blue-gray Gnatcatcher","Polioptila caerulea"
"Rock Wren","Salpinctes obsoletus"
"Canyon Wren","Catherpes mexicanus"
"Northern House Wren","Troglodytes aedon"
"Pacific Wren","Troglodytes pacificus"
"Winter Wren","Troglodytes hiemalis"
"Sedge Wren","Cistothorus stellaris"
"Marsh Wren","Cistothorus palustris"
"Carolina Wren","Thryothorus ludovicianus"
"Bewick's Wren","Thryomanes bewickii"
"American Dipper","Cinclus mexicanus"
"European Starling","Sturnus vulgaris"
"White-cheeked Starling","Spodiopsar cineraceus"
"Crested Myna","Acridotheres cristatellus"
"Gray Catbird","Dumetella carolinensis"
"Curve-billed Thrasher","Toxostoma curvirostre"
"Brown Thrasher","Toxostoma rufum"
"Sage Thrasher","Oreoscoptes montanus"
"Northern Mockingbird","Mimus polyglottos"
"Eastern Bluebird","Sialia sialis"
"Western Bluebird","Sialia mexicana"
"Mountain Bluebird","Sialia currucoides"
"Townsend's Solitaire","Myadestes townsendi"
"Varied Thrush","Ixoreus naevius"
"Veery","Catharus fuscescens"
"Gray-cheeked Thrush","Catharus minimus"
"Bicknell's Thrush","Catharus bicknelli"
"Swainson's Thrush","Catharus ustulatus"
"Hermit Thrush","Catharus guttatus"
"Wood Thrush","Hylocichla mustelina"
"Mistle Thrush","Turdus viscivorus"
"Redwing","Turdus iliacus"
"Fieldfare","Turdus pilaris"
"Dusky Thrush","Turdus eunomus"
"American Robin","Turdus migratorius"
"Bluethroat","Luscinia svecica"
"Red-flanked Bluetail","Tarsiger cyanurus"
"Taiga Flycatcher","Ficedula albicilla"
"Northern Wheatear","Oenanthe oenanthe"
"Bohemian Waxwing","Bombycilla garrulus"
"Cedar Waxwing","Bombycilla cedrorum"
"Phainopepla","Phainopepla nitens"
"Zebra Finch","Taeniopygia guttata"
"White-rumped Munia","Lonchura striata"
"Red-cheeked Cordonbleu","Uraeginthus bengalus"
"Siberian Accentor","Prunella montanella"
"House Sparrow","Passer domesticus"
"Eurasian Tree Sparrow","Passer montanus"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Citrine Wagtail","Motacilla citreola"
"White Wagtail","Motacilla alba"
"Olive-backed Pipit","Anthus hodgsoni"
"Red-throated Pipit","Anthus cervinus"
"Siberian Pipit","Anthus japonicus"
"American Pipit","Anthus rubescens"
"Sprague's Pipit","Anthus spragueii"
"Common Chaffinch","Fringilla coelebs"
"Brambling","Fringilla montifringilla"
"Evening Grosbeak","Hesperiphona vespertina"
"Hawfinch","Coccothraustes coccothraustes"
"Pine Grosbeak","Pinicola enucleator"
"Eurasian Bullfinch","Pyrrhula pyrrhula"
"Gray-crowned Rosy-Finch","Leucosticte tephrocotis"
"House Finch","Haemorhous mexicanus"
"Purple Finch","Haemorhous purpureus"
"Cassin's Finch","Haemorhous cassinii"
"European Greenfinch","Chloris chloris"
"Oriental Greenfinch","Chloris sinica"
"Yellow-fronted Canary","Crithagra mozambica"
"Redpoll","Acanthis flammea"
"Red Crossbill","Loxia curvirostra"
"White-winged Crossbill","Loxia leucoptera"
"European Goldfinch","Carduelis carduelis"
"Eurasian Siskin","Spinus spinus"
"Pine Siskin","Spinus pinus"
"Lesser Goldfinch","Spinus psaltria"
"American Goldfinch","Spinus tristis"
"Lapland Longspur","Calcarius lapponicus"
"Chestnut-collared Longspur","Calcarius ornatus"
"Smith's Longspur","Calcarius pictus"
"Thick-billed Longspur","Rhynchophanes mccownii"
"Snow Bunting","Plectrophenax nivalis"
"McKay's Bunting","Plectrophenax hyperboreus"
"Pine Bunting","Emberiza leucocephalos"
"Pallas's Bunting","Emberiza pallasi"
"Yellow-breasted Bunting","Emberiza aureola"
"Little Bunting","Emberiza pusilla"
"Rustic Bunting","Emberiza rustica"
"Cassin's Sparrow","Peucaea cassinii"
"Grasshopper Sparrow","Ammodramus savannarum"
"Chipping Sparrow","Spizella passerina"
"Clay-colored Sparrow","Spizella pallida"
"Field Sparrow","Spizella pusilla"
"Brewer's Sparrow","Spizella breweri"
"Black-throated Sparrow","Amphispiza bilineata"
"Lark Sparrow","Chondestes grammacus"
"Lark Bunting","Calamospiza melanocorys"
"American Tree Sparrow","Spizelloides arborea"
"Fox Sparrow","Passerella iliaca"
"Dark-eyed Junco","Junco hyemalis"
"White-crowned Sparrow","Zonotrichia leucophrys"
"Golden-crowned Sparrow","Zonotrichia atricapilla"
"Harris's Sparrow","Zonotrichia querula"
"White-throated Sparrow","Zonotrichia albicollis"
"Sagebrush Sparrow","Artemisiospiza nevadensis"
"Vesper Sparrow","Pooecetes gramineus"
"LeConte's Sparrow","Ammospiza leconteii"
"Seaside Sparrow","Ammospiza maritima"
"Nelson's Sparrow","Ammospiza nelsoni"
"Savannah Sparrow","Passerculus sandwichensis"
"Baird's Sparrow","Centronyx bairdii"
"Henslow's Sparrow","Centronyx henslowii"
"Song Sparrow","Melospiza melodia"
"Lincoln's Sparrow","Melospiza lincolnii"
"Swamp Sparrow","Melospiza georgiana"
"Green-tailed Towhee","Pipilo chlorurus"
"Spotted Towhee","Pipilo maculatus"
"Eastern Towhee","Pipilo erythrophthalmus"
"Yellow-breasted Chat","Icteria virens"
"Yellow-headed Blackbird","Xanthocephalus xanthocephalus"
"Bobolink","Dolichonyx oryzivorus"
"Western Meadowlark","Sturnella neglecta"
"Eastern Meadowlark","Sturnella magna"
"Orchard Oriole","Icterus spurius"
"Hooded Oriole","Icterus cucullatus"
"Bullock's Oriole","Icterus bullockii"
"Baltimore Oriole","Icterus galbula"
"Scott's Oriole","Icterus parisorum"
"Red-winged Blackbird","Agelaius phoeniceus"
"Tricolored Blackbird","Agelaius tricolor"
"Shiny Cowbird","Molothrus bonariensis"
"Bronzed Cowbird","Molothrus aeneus"
"Brown-headed Cowbird","Molothrus ater"
"Rusty Blackbird","Euphagus carolinus"
"Brewer's Blackbird","Euphagus cyanocephalus"
"Common Grackle","Quiscalus quiscula"
"Great-tailed Grackle","Quiscalus mexicanus"
"Ovenbird","Seiurus aurocapilla"
"Worm-eating Warbler","Helmitheros vermivorum"
"Louisiana Waterthrush","Parkesia motacilla"
"Northern Waterthrush","Parkesia noveboracensis"
"Golden-winged Warbler","Vermivora chrysoptera"
"Blue-winged Warbler","Vermivora cyanoptera"
"Black-and-white Warbler","Mniotilta varia"
"Prothonotary Warbler","Protonotaria citrea"
"Swainson's Warbler","Limnothlypis swainsonii"
"Tennessee Warbler","Leiothlypis peregrina"
"Orange-crowned Warbler","Leiothlypis celata"
"Lucy's Warbler","Leiothlypis luciae"
"Nashville Warbler","Leiothlypis ruficapilla"
"Virginia's Warbler","Leiothlypis virginiae"
"Connecticut Warbler","Oporornis agilis"
"MacGillivray's Warbler","Geothlypis tolmiei"
"Mourning Warbler","Geothlypis philadelphia"
"Kentucky Warbler","Geothlypis formosa"
"Common Yellowthroat","Geothlypis trichas"
"Hooded Warbler","Setophaga citrina"
"American Redstart","Setophaga ruticilla"
"Kirtland's Warbler","Setophaga kirtlandii"
"Cape May Warbler","Setophaga tigrina"
"Cerulean Warbler","Setophaga cerulea"
"Northern Parula","Setophaga americana"
"Magnolia Warbler","Setophaga magnolia"
"Bay-breasted Warbler","Setophaga castanea"
"Blackburnian Warbler","Setophaga fusca"
"Northern Yellow Warbler","Setophaga aestiva"
"Chestnut-sided Warbler","Setophaga pensylvanica"
"Blackpoll Warbler","Setophaga striata"
"Black-throated Blue Warbler","Setophaga caerulescens"
"Palm Warbler","Setophaga palmarum"
"Pine Warbler","Setophaga pinus"
"Yellow-rumped Warbler","Setophaga coronata"
"Yellow-throated Warbler","Setophaga dominica"
"Prairie Warbler","Setophaga discolor"
"Grace's Warbler","Setophaga graciae"
"Black-throated Gray Warbler","Setophaga nigrescens"
"Townsend's Warbler","Setophaga townsendi"
"Hermit Warbler","Setophaga occidentalis"
"Black-throated Green Warbler","Setophaga virens"
"Canada Warbler","Cardellina canadensis"
"Wilson's Warbler","Cardellina pusilla"
"Painted Redstart","Myioborus pictus"
"Hepatic Tanager","Piranga flava"
"Summer Tanager","Piranga rubra"
"Scarlet Tanager","Piranga olivacea"
"Western Tanager","Piranga ludoviciana"
"Northern Cardinal","Cardinalis cardinalis"
"Pyrrhuloxia","Cardinalis sinuatus"
"Rose-breasted Grosbeak","Pheucticus ludovicianus"
"Black-headed Grosbeak","Pheucticus melanocephalus"
"Blue Grosbeak","Passerina caerulea"
"Lazuli Bunting","Passerina amoena"
"Indigo Bunting","Passerina cyanea"
"Painted Bunting","Passerina ciris"
"Dickcissel","Spiza americana"
"Saffron Finch","Sicalis flaveola"
"Lesson's Seedeater","Sporophila bouvronides"
